ID,melanin_level,Devo_Day,Treatment,Day in,Time in,Time out,Total time,Chamber_Humidty,Chamber Temp- MIN,Chamber temp- MAX,Avg_Temp,before_mass,after_mass,frass_mass,delta_mass,percent_mass_change,before_osmo,after_osmo,delta_osmo,Exp Notes,gray_value_R,gray_value_G,gray_value_B,mean_gray_value,melanin_percent_R,melanin_percent_G,melanin_percent_B,mean_melanin_percent,,,,,,,
D079,min,19,S,9/6/22,7:49 PM,11:49 AM,16,7-10%,38,38.7,38.35,5.63,4.81,0.11,0.93,0.165186501,327,289,-38,,27.013,27.233,26.981,27.07566667,29.26,11.454,19.934,20.216,,,,,,,
D086,med,18,S,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,38.2,6.095,5.42,0.0088,0.6838,0.11219032,,,,,15.405,14.192,14.857,14.818,51.301,45.726,54.053,50.36,,,,,,,
D087,min,18,S,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,38.2,4.83,4.35,0.0026,0.4826,0.099917184,,,,,23.569,18.635,20.543,20.91566667,9.618,5.955,8.521,8.031333333,,,,,,,
D088,med,18,S,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,38.2,3.099,2.698,0.03,0.431,0.139077122,,,,,15.17,14.362,14.996,14.84266667,39.354,37.527,44.581,40.48733333,,,,,,,
D089,med,17,C,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,38.2,3.31,2.98,0.0069,0.3369,0.101782477,,,,,10.873,11.082,10.989,10.98133333,77.214,76.982,84.543,79.57966667,,,,,,,
D090,max,18,C,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,38.2,5.98,5.3,0.09,0.77,0.128762542,,,,,12.261,12.445,11.779,12.16166667,77.557,77.699,81,78.752,,,,,,,
D091,med,18,S,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,38.2,6.08,5.29,0.08,0.87,0.143092105,,,,,18.028,16.054,16.597,16.893,45.63,38.956,46.36,43.64866667,,,,,,,
D092,min,18,C,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,,5.87,5.27,0.017,0.617,0.105110733,,,,,19.367,15.681,17.605,17.551,22.04,16.244,21.426,19.90333333,,,,,,,
D093,min,18,S,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,38.2,3.62,3.24,0,0.38,0.104972376,,,,,19.271,16.959,18.222,18.15066667,11.821,10.095,13.135,11.68366667,,,,,,,
D094,max,18,C,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,38.2,5.43,4.7,0.055,0.785,0.144567219,,,,,12.197,12.424,11.662,12.09433333,75.787,76.369,80.552,77.56933333,,,,,,,
D095,max,18,C,10/5/22,7:12 PM,11:12 AM,16,7-12%,37.7,38.7,38.2,4.88,4.425,0.06,0.515,0.105532787,,,,,12.757,12.914,12.14,12.60366667,77.058,77.715,80.825,78.53266667,,,,,,,
D096,min,20,S,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,6.21,5.5996,0.0313,0.6417,0.103333333,,,,,23.317,16.175,21.864,20.452,15.288,7.448,14.786,12.50733333,,,,,,,
D097,max,18,C,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,6.22,5.6361,0.0589,0.6428,0.103344051,,,,,13.06,13.274,12.772,13.03533333,77.395,76.72,81.238,78.451,,,,,,,
D098,med,20,C,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,8.14,7.6939,0.0724,0.5185,0.063697789,,,,,13.605,13.11,13.251,13.322,61.212,56.756,63.471,60.47966667,,,,,,,
D099,max,18,C,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,4.75,4.1378,0.0061,0.6183,0.130168421,,,,,10.188,10.332,9.324,9.948,81.453,82.348,86.042,83.281,,,,,,,
D100,med,20,C,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,7.55,7.022,0.1034,0.6314,0.083629139,,,,,14.954,14.32,14.131,14.46833333,64.648,58.693,65.154,62.83166667,,,,,,,
D101,max,18,C,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,4.43,4.1284,0.013,0.3146,0.071015801,,,,,11.292,11.453,10.806,11.18366667,77.894,77.668,81.422,78.99466667,,,,,,,
D102,min,20,S,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,4.77,4.3302,0.0618,0.5016,0.105157233,,,,,22.851,19.894,21.267,21.33733333,13.468,9.823,14.283,12.52466667,,,,,,,
D103,min,18,S,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,4.87,4.4469,0.0582,0.4813,0.098829569,,,,,24.658,18.465,19.768,20.96366667,17.69,8.652,11.378,12.57333333,,,,,,,
D104,min,20,S,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,4.88,4.1146,0.0301,0.7955,0.163012295,,,,,19.36,15.123,16.713,17.06533333,14.453,10.529,13.763,12.915,,,,,,,
D105,med,20,C,10/10/22,8:34 PM,12:34 PM,16,7-11%,38.2,38.8,38.5,7.99,7.4409,0.1013,0.6504,0.081401752,,,,,20.509,17.491,18.333,18.77766667,41.206,29.155,36.094,35.485,,,,,,,
D106,med,17,S,10/11/22,4:39 PM,8:45 AM,16,7-11%,38.1,38.6,38.35,2.6669,2.3182,0.0028,0.3515,0.131800967,316,315,-1,,16.685,14.667,15.837,15.72966667,39.425,33.197,40.419,37.68033333,,,,,,,
D107,min,18,S,10/11/22,4:39 PM,8:45 AM,16,7-11%,38.1,38.6,38.35,3.2656,2.8578,0,0.4078,0.124877511,344,350,6,,18.885,16.748,20.133,18.58866667,13.847,12.243,19.498,15.196,,,,,,,
D108,min,18,S,10/11/22,4:39 PM,8:45 AM,16,7-11%,38.1,38.6,38.35,3.4491,2.8536,0.0208,0.6163,0.178684294,331,335,4,,24.387,17.192,21.407,20.99533333,11.969,6.249,10.708,9.642,,,,,,,
D109,max,17,C,10/11/22,4:39 PM,8:45 AM,16,7-11%,38.1,38.6,38.35,2.3518,2.0543,0.0095,0.307,0.130538311,340,353,13,,10.514,10.837,10.11,10.487,81.663,82.091,84.778,82.844,,,,,,,
D110,max,17,C,10/11/22,4:39 PM,8:45 AM,16,7-11%,38.1,38.6,38.35,2.5479,2.2069,0,0.341,0.133835708,340,344,4,,13.378,"13,517",12.924,4514.434,77.768,77.744,83.085,79.53233333,,,,,,,
